Point Latitude,Point Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_id,name,district
35.747700103448274,51.38888884057971,Darbo Fast Food | فست فود داربو,35.74764161468749,51.390559328714716,Fast Food Restaurant,52148b5a498e59c60a872518,والفجر,6
35.747700103448274,51.38888884057971,Saba Park | بوستان صبا (بوستان صبا),35.748583956149936,51.392372108242114,Park,4f8b4733e4b047d84bd47535,والفجر,6
35.75667475862068,51.38888884057971,Kargadan Café | کافه کرگدن (کافه کرگدن),35.75810995851279,51.39295101924881,Café,55686242498e6aa26082fad9,ونک,3
35.75667475862068,51.38888884057971,Dizibar | دیزی‌بار,35.75624055826318,51.39294182379175,Restaurant,55d6ef4c498e809dfdcf3286,ونک,3
35.75667475862068,51.38888884057971,Mollasadra Shopping Center | مرکز خرید ملاصدرا (مرکز خرید ملاصدرا),35.754453218452674,51.39099597930908,Shopping Mall,4e35007efa7656ba316cb788,ونک,3
35.75667475862068,51.38888884057971,Napoli Pizza | پيتزا ناپولى (پيتزا ناپولى),35.756320566584485,51.39291625109666,Italian Restaurant,506c7679e4b0e6ad84ff5abe,ونک,3
35.75667475862068,51.38888884057971,Mollasadra Hall | تالار و مجتمع رفاهی ملاصدرا,35.754720539552984,51.38827938759291,Restaurant,5233494711d2bb3b25e4e041,ونک,3
35.75667475862068,51.38888884057971,Kharazmi Park | بوستان خوارزمي,35.75289746468665,51.39104094439582,Park,5526472d498e56e2b6fcc3cf,ونک,3
35.7656494137931,51.38888884057971,Cafe train,35.765822359129885,51.39249862196882,Café,5635ef6b498e26546692ec11,ونک,3
35.7656494137931,51.38888884057971,مجموعه ورزشی مهستان,35.763957,51.384125,Gym,571b854b498ea3997fadf6e2,مدیریت,2
35.7656494137931,51.38888884057971,Khan Daei Restaurant | رستوران خان دایی (رستوران خان دایی),35.764528304355714,51.3917172617484,Persian Restaurant,55475c18498e804debc69526,ونک,3
35.7656494137931,51.38888884057971,Vanak Park Swimming Pool | استخر ونک پارک,35.76760386954381,51.38455480050838,Pool,53722a66498ea16a1fb5290d,اسلام آباد (شهرک نیایش),2
35.7656494137931,51.38888884057971,Termeh Traditional Restaurant | رستوران سنتی ترمه,35.76616517335397,51.39268248199755,Restaurant,519904e0498e50037a8f4033,ونک,3
35.747700103448274,51.39638581159421,#B68 | بلاک ۶۸ (بلاک ۶۸),35.744342323309866,51.3978598084227,Gym / Fitness Center,55f42ec3498eaad3a6873e47,شیراز,6
