Point Latitude,Point Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_id
35.648978896551725,51.41887672463768,تهران_اصفهان,35.646664,51.42325,Bus Station,589e3af6110d031349f6d8c3
35.65795355172414,51.41887672463768,قهوه خونه حسین رمضون یخی,35.6601,51.421,Hookah Bar,5809b03538fa9d88661fafe7
35.65795355172414,51.41887672463768,بازار فرش تهران,35.658859409734525,51.416986808980084,Carpet Store,558fd26d498e1aebe27fe116
35.65795355172414,51.41887672463768,Harandi Park پارک هرندی,35.660663050289,51.42274825360933,Park,56927152498e097049b593a1
35.640004241379316,51.42637369565218,mah-E-asal Manto,35.643028,51.423117,Women's Store,5540800b498ecddd1404fa94
35.648978896551725,51.42637369565218,Coffee Time In Tehran,35.646477,51.42807,Coffee Shop,58d4573800841a150e69006b
35.648978896551725,51.42637369565218,Pes Time In Tehran,35.646477,51.42807,Video Game Store,58d456b153f5bb3ed8a555e2
35.648978896551725,51.42637369565218,تالار فرهنگيان,35.646143,51.429648,Restaurant,577a8649498ec8fcac9f21f8
35.65795355172414,51.42637369565218,Boloor Forooshan Complex | مجتمع بلور فروشان (مجتمع بلور فروشان),35.6568522750637,51.42800251513775,Shopping Mall,549bbdfa498eafa42228bf5a
35.65795355172414,51.42637369565218,بازار بزرگ شوش,35.656866,51.430632,Kitchen Supply Store,59f0438c0d8a0f04f344351c
35.65795355172414,51.42637369565218,Crystal Bazaar | بازار بلور و کریستال (بازار بلور و کریستال),35.65685334236224,51.43050957450511,Furniture / Home Store,5283e269498e61313260298c
35.65795355172414,51.42637369565218,Rosiny - فروشگاه رُزينى,35.657613,51.427787,Furniture / Home Store,577a1c63498e57bfac059b7b
35.65795355172414,51.42637369565218,سیتی سنتر تهران | Tehran City Center,35.6597099870211,51.428746023514194,Shopping Mall,56a47c62498ebb9ccd1e3224
35.65795355172414,51.42637369565218,Baba Haji Restaurant | رستوران بابا حاجی,35.65561196316572,51.43060185463848,Persian Restaurant,54609ed8498ef61c7e327878
35.65795355172414,51.42637369565218,رستوران شماعيان,35.656359124801554,51.42942667007446,Restaurant,571b2f13498ecff1fcd13434
35.65795355172414,51.42637369565218,ايران گالري شعبه شهرداري - شوش,35.65678,51.43012,Kitchen Supply Store,5955f7ac9ec3996218d552c3
35.65795355172414,51.42637369565218,Shoosh Square | میدان شوش (میدان شوش),35.659737,51.430907,Plaza,4f9fe76ee4b0a37923ed9c31
35.747700103448274,51.38888884057971,Sadaf Swimming Pool | استخر صدف (استخر صدف),35.74644327456385,51.389582787007534,Pool,4f8b492ee4b002b90cfbdc6b
35.747700103448274,51.38888884057971,Javan Health Club 4 | باشگاه ورزشی جوان ۴ (باشگاه ورزشی جوان ۴),35.74507266807024,51.39057042743746,Gym / Fitness Center,58eb2cefe72ef643b31a7c9c
35.747700103448274,51.38888884057971,Bam-e Amir Abad | بام اميرآباد (بام اميرآباد),35.74362663850177,51.386991185898765,Scenic Lookout,575c8441cd10ef83571be46b
35.747700103448274,51.38888884057971,Aloonak | آلونک (آلونک),35.74809712963914,51.39342002866236,Fast Food Restaurant,5166f56de4b086f653bdccf2
35.747700103448274,51.38888884057971,Valfajr Soccer Field,35.74481951021736,51.39285984402875,Soccer Field,555f6019498e6c7faebf1c30
35.747700103448274,51.38888884057971,Ghasre Sadaf Supermarket | سوپرمارکت قصر صدف (سوپرمارکت قصر صدف),35.74755259315808,51.39124927754448,Supermarket,4f8c46ffe4b076717d734c3e
35.747700103448274,51.38888884057971,Darbo Fast Food | فست فود داربو,35.747641614687495,51.39055932871473,Fast Food Restaurant,52148b5a498e59c60a872518
35.747700103448274,51.38888884057971,Sangak Bakery | نانوایی سنگک والفجر (نانوایی سنگک والفجر),35.743903656672764,51.39111975016034,Bakery,4ffa939fe4b01ead039a0470
35.747700103448274,51.38888884057971,Valfajr Drugstore | داروخانه والفجر (داروخانه والفجر),35.74737965364898,51.39108705672103,Drugstore,4fdd6f11e4b09473e1dd06d1
35.747700103448274,51.38888884057971,Saba Park | بوستان صبا (بوستان صبا),35.74858395614994,51.39237210824211,Park,4f8b4733e4b047d84bd47535
35.747700103448274,51.38888884057971,Valfajr Barbari Bakery | نانوایی بربری والفجر (نانوایی بربری والفجر),35.74708016732606,51.39357717042921,Bakery,54094a6f498ee2920f00a390
35.747700103448274,51.38888884057971,Shohadaye Daneshjou Square | میدان شهدای دانشجو (میدان شهدای دانشجو),35.748836,51.393654,Plaza,589d9cae7b43b46edf009c3f
35.75667475862068,51.38888884057971,Studio Boomrang,35.760274,51.39059,Photography Studio,57fb4177498e51817bca821e
35.75667475862068,51.38888884057971,Kargadan Café | کافه کرگدن (کافه کرگدن),35.75810995851279,51.392951019248805,Café,55686242498e6aa26082fad9
35.75667475862068,51.38888884057971,Dizibar | دیزی‌بار,35.75624055826318,51.392941823791745,Restaurant,55d6ef4c498e809dfdcf3286
35.75667475862068,51.38888884057971,هتل ملا صدرا | Mola Sadra Hotel,35.754768990691716,51.388582941124476,Hotel,550ed49f498e82297b7c1d7c
